categoria_principal_articulo;subcategoria_articulo;nombre_articulo;id_articulo;formato_venta_articulo;precio_articulo_por_formato_venta_articulo;unidad_medida_articulo;precio_por_unidad_articulo;cantidad_unidad_medida_articulo;url_enlace_articulo;imagen_articulo
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva 0,4º Hacendado;4241;Garrafa;17.25;L;3.45;5;https://tienda.mercadona.es/product/4241/aceite-oliva-04o-hacendado-garrafa;https://prod-mercadona.imgix.net/images/c1788076223b499bd260c6a03d89b087.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva 0,4º Hacendado;4240;Botella;3.55;L;3.55;1;https://tienda.mercadona.es/product/4240/aceite-oliva-04o-hacendado-botella;https://prod-mercadona.imgix.net/images/65c2349950feb1958362e06217003b10.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva virgen extra Hacendado;4717;Garrafa;14.00;L;4.67;3;https://tienda.mercadona.es/product/4717/aceite-oliva-virgen-extra-hacendado-garrafa;https://prod-mercadona.imgix.net/images/e9c286dc179e75d80ba0d9a0c6ca2717.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva virgen extra Hacendado;4740;Botella;4.65;L;4.65;1;https://tienda.mercadona.es/product/4740/aceite-oliva-virgen-extra-hacendado-botella;https://prod-mercadona.imgix.net/images/187d68e356f13378cd4e31bbc613da76.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva virgen extra Hacendado Gran Selección;4706;Botella;5.95;L;7.93;0,75;https://tienda.mercadona.es/product/4706/aceite-oliva-virgen-extra-hacendado-gran-seleccion-botella;https://prod-mercadona.imgix.net/images/c60e6e09dc2037a291515d3b15af376c.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva 1º Hacendado;4641;Garrafa;18.45;L;3.69;5;https://tienda.mercadona.es/product/4641/aceite-oliva-1o-hacendado-garrafa;https://prod-mercadona.imgix.net/images/9d3accbd38120190f64f6f4b07781e13.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva 1º Hacendado;4640;Botella;3.95;L;3.95;1;https://tienda.mercadona.es/product/4640/aceite-oliva-1o-hacendado-botella;https://prod-mercadona.imgix.net/images/fe860edbcbb7504d90ad34af0b93b6d7.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva virgen Hacendado;4711;Garrafa;11.75;L;3.92;3;https://tienda.mercadona.es/product/4711/aceite-oliva-virgen-hacendado-garrafa;https://prod-mercadona.imgix.net/images/01d37a541419ec68db44bc2bf072e317.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva virgen Hacendado;4749;Botella;4.10;L;4.10;1;https://tienda.mercadona.es/product/4749/aceite-oliva-virgen-hacendado-botella;https://prod-mercadona.imgix.net/images/a6b5607809fdd257ffd5e778791bdc6a.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva virgen extra Hacendado;4718;Spray;2.80;L;14.00;0,2;https://tienda.mercadona.es/product/4718/aceite-oliva-virgen-extra-hacendado-spray;https://prod-mercadona.imgix.net/images/3828beeb31145e948b4c611621162bfd.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de oliva;Aceite de oliva virgen extra Picual Casa Juncal;4850;Botella;4.95;L;9.90;0,5;https://tienda.mercadona.es/product/4850/aceite-oliva-virgen-extra-picual-casa-juncal-botella;https://prod-mercadona.imgix.net/images/218712ed55645f7f5a0eb8f40d96aea0.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de girasol, semillas y maíz;Aceite de girasol refinado 0,2º Hacendado;4041;Garrafa;8.70;L;1.74;5;https://tienda.mercadona.es/product/4041/aceite-girasol-refinado-02o-hacendado-garrafa;https://prod-mercadona.imgix.net/images/e6398afba1d032d2e1c0489fd727d2f6.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de girasol, semillas y maíz;Aceite de girasol refinado 0,2º Hacendado;4040;Botella;1.80;L;1.80;1;https://tienda.mercadona.es/product/4040/aceite-girasol-refinado-02o-hacendado-botella;https://prod-mercadona.imgix.net/images/fc8cd01eaf02732b8e28d5136850204d.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Aceite de girasol, semillas y maíz;Aceite de coco virgen Hacendado;4193;Bote;5.45;L;12.11;0,45;https://tienda.mercadona.es/product/4193/aceite-coco-virgen-hacendado-bote;https://prod-mercadona.imgix.net/images/2fe6ba84f4e3783e1e57c42903035bd3.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Vinagre y otros aderezos;Vinagre de vino blanco Hacendado;4940;Botella;0.65;L;0.65;1;https://tienda.mercadona.es/product/4940/vinagre-vino-blanco-hacendado-botella;https://prod-mercadona.imgix.net/images/44c1552cc9f3945d63d01565d313846c.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Vinagre y otros aderezos;Vinagre de manzana Hacendado;4957;Botella;0.90;L;0.90;1;https://tienda.mercadona.es/product/4957/vinagre-manzana-hacendado-botella;https://prod-mercadona.imgix.net/images/6803f40bdcd3d9b3be574bcee41399f4.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Vinagre y otros aderezos;Limón exprimido Hacendado;4903;Botella;1.05;L;3.75;0,28;https://tienda.mercadona.es/product/4903/limon-exprimido-hacendado-botella;https://prod-mercadona.imgix.net/images/1910ee61299100e2bca29c2b39fab7a5.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Vinagre y otros aderezos;Crema de vinagre balsámico de Módena Hacendado;4908;Botella;1.80;kg;7.20;0,25;https://tienda.mercadona.es/product/4908/crema-vinagre-balsamico-modena-hacendado-botella;https://prod-mercadona.imgix.net/images/f38299e92edeb2b5c78eeb642f7e3752.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Vinagre y otros aderezos;Vinagre de Jerez reserva Hacendado;13609;Botella;2.00;L;8.00;0,25;https://tienda.mercadona.es/product/13609/vinagre-jerez-reserva-hacendado-botella;https://prod-mercadona.imgix.net/images/bfa0c4aabf80adf4cd9a390df6aa7184.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Vinagre y otros aderezos;Reducción bálsamica de vinagre Pedro Ximénez Hacendado;4905;Botella;2.25;kg;7.50;0,3;https://tienda.mercadona.es/product/4905/reduccion-vinagre-pedro-ximenez-hacendado-botella;https://prod-mercadona.imgix.net/images/8ce7a93a2c6bf9fbffcb10f388eeb0a8.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Vinagre y otros aderezos;Vinagre balsámico de Módena Hacendado;26496;Botella;2.35;L;4.70;0,5;https://tienda.mercadona.es/product/26496/vinagre-balsamico-modena-hacendado-botella;https://prod-mercadona.imgix.net/images/f65c196d0aae6388f9e6852c381f8da4.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal fina Hacendado;19731;Paquete;0.40;kg;0.40;1;https://tienda.mercadona.es/product/19731/sal-fina-hacendado-paquete;https://prod-mercadona.imgix.net/images/5097b3d7450edab7c2d9586299f5f3b9.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal fina de mesa Hacendado;16864;Bote;0.75;kg;2.50;0,3;https://tienda.mercadona.es/product/16864/sal-fina-mesa-hacendado-bote;https://prod-mercadona.imgix.net/images/14d233ae4aee44619f27e63caaed1f2e.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal yodada fina Hacendado;19732;Paquete;0.45;kg;0.45;1;https://tienda.mercadona.es/product/19732/sal-yodada-fina-hacendado-paquete;https://prod-mercadona.imgix.net/images/409a53c0327dff2c4b91e6b4c58efa42.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal gruesa Hacendado;19733;Paquete;0.40;kg;0.40;1;https://tienda.mercadona.es/product/19733/sal-gruesa-hacendado-paquete;https://prod-mercadona.imgix.net/images/8b9798cc6f23201e8191711f58368727.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Bicarbonato de sódio Hacendado;29007;Paquete;1.45;kg;1.45;1;https://tienda.mercadona.es/product/29007/bicarbonato-sodico-hacendado-paquete;https://prod-mercadona.imgix.net/images/5ae57e0348cf657e21ffa47ad36ea448.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Bicarbonato de sódio Hacendado;29006;Bote;1.10;kg;3.67;0,3;https://tienda.mercadona.es/product/29006/bicarbonato-sodico-hacendado-bote;https://prod-mercadona.imgix.net/images/0cdfaaf94335d5701e8f433bdf49c914.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Escamas de sal marina natural Polasal;19740;Bote;2.00;kg;16.00;0,125;https://tienda.mercadona.es/product/19740/sal-marina-escamas-polasal-bote;https://prod-mercadona.imgix.net/images/36bc3658a807997961ec5fda23dd948e.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal gruesa para hornear Hacendado;19734;Paquete;1.40;kg;0.70;2;https://tienda.mercadona.es/product/19734/sal-gruesa-hornear-hacendado-paquete;https://prod-mercadona.imgix.net/images/c46d67d22d1cf40d537ab349322b8da2.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal de ajo Hacendado;34130;Bote;1.80;kg;13.85;0,13;https://tienda.mercadona.es/product/34130/sal-ajo-hacendado-bote;https://prod-mercadona.imgix.net/images/bd81680a3655bf89428f333254f34979.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal de frutas sabor limón Hacendado;29016;Bote;2.10;kg;8.40;0,25;https://tienda.mercadona.es/product/29016/sal-frutas-sabor-limon-hacendado-bote;https://prod-mercadona.imgix.net/images/e01b7ced535cf57318ff7c7a1628d3ed.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal 60% menos de sodio Hacendado;19713;Bote;2.30;kg;9.20;0,25;https://tienda.mercadona.es/product/19713/sal-60-menos-sodio-hacendado-bote;https://prod-mercadona.imgix.net/images/eeb93d74d5e3298a8f93b4b78dffdb7b.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Preparado para ahumar Hacendado;19726;Bote;3.30;kg;4.40;0,75;https://tienda.mercadona.es/product/19726/preparado-salmon-ahumado-hacendado-bote;https://prod-mercadona.imgix.net/images/6666d298f039f78188651aa1fd47dc03.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Sal y bicarbonato;Sal rosa del Himalaya Hacendado;19701;Bote;1.90;kg;7.60;0,25;https://tienda.mercadona.es/product/19701/sal-rosa-himalaya-hacendado-bote;https://prod-mercadona.imgix.net/images/e19be1d4b1c08ca7c7f65dc62a34cd74.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Hierbas;Orégano Hacendado;5598;Bote;1.00;100 g;40.00;0,025;https://tienda.mercadona.es/product/5598/oregano-hacendado-bote;https://prod-mercadona.imgix.net/images/20a564cf97b2b9662bb7727d6008ed69.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Hierbas;Perejil Hacendado;5599;Bote;0.90;100 g;50.00;0,018;https://tienda.mercadona.es/product/5599/perejil-hacendado-bote;https://prod-mercadona.imgix.net/images/b2bc740ba01dd6f5b0c62f44a5557dee.jpg?fit=crop&h=300&w=300
Aceite, especias y salsas;Hierbas;Hoja de laurel Hacendado;47994;Paquete;0.85;100 g;70.83;0,012;https://tienda.mercadona.es/product/47994/hoja-laurel-hacendado-paquete;https://prod-mercadona.imgix.net/images/4bce6bcc4f7a9880f0ee238f3e27003d.jpg?fit=crop&h=300&w=300
